Fecha,Chile,Mexico,Colombia,Brazil
1990-02-01,0.29475871409121446,2.2644310977429694,3.7426984662401352,75.7299998872637
1990-03-01,2.4144636248544904,1.7629261127850127,2.9312200659397325,82.38998605352961
1990-04-01,1.7763096678142798,1.5219510868961006,2.7382303219903203,15.519978319220629
1990-05-01,1.5240128361019734,1.7450855830420275,2.025590343418804,7.590005246052844
1990-06-01,2.1936864874405604,2.202459241344301,1.8808790100627304,11.750012758238348
1990-07-01,1.668459169057268,1.8236934412961814,1.3333219696964216,12.920002092382
1990-08-01,2.013254997709635,1.703879931967145,1.6194441181716535,12.8799936175227
1990-09-01,4.892345376711527,1.4254741548811456,2.3904255689559673,14.410007439070615
1990-10-01,3.8167336066553093,1.4376140496967338,1.9455314738985985,14.359995707009698
1990-11-01,0.8833304009921328,2.655036332434646,2.003811419494017,16.809998787690784
1990-12-01,0.5223104319008964,3.151752251217199,2.525733652342521,18.440007109359247
1991-01-01,0.4235017505175076,2.5488747189053917,3.0109444682356212,20.75000278893051
1991-02-01,0.12859477362032745,1.7457719033416197,3.4543806230938,20.72049586151261
1991-03-01,1.1590036738446274,1.426052784139098,2.4828888630752166,11.922894192007117
1991-04-01,1.8454884656025516,1.047565452007082,2.840432299543205,4.989266451719976
1991-05-01,2.4905160684684846,0.9775204260533688,2.1933344188178827,7.431805003487502
1991-06-01,1.8415641773956715,1.0493454682419578,1.5898186734792485,11.189029308954023
1991-07-01,1.8110743530568518,0.8836464083144202,1.7996865548159047,12.40900560871927
1991-08-01,1.211343988706326,0.695974769972052,1.2298315250404368,15.630446823357879
1991-09-01,1.3073953389774795,0.9962165673538914,1.5185967068134465,15.630752868442354
1991-10-01,2.8923284965412632,1.163037484302376,1.2715025562498372,20.22953601310631
1991-11-01,0.923229587862151,2.483019310438328,1.2555489352255478,25.21029587175272
1991-12-01,1.2299733053981798,2.3538466902131905,1.3858524277262418,23.709352378176153
1992-01-01,1.1010732246276245,1.817518044172406,3.5251426464049107,25.940286287260594
1992-02-01,-0.6284112965885158,1.1847881843712882,3.335633220728451,24.31992021029119
1992-03-01,0.7004093708029568,1.0177264981900525,2.286540129106851,21.400286149443847
1992-04-01,1.3160580617809226,0.8914102526445422,2.8928103146853124,19.930001847972378
1992-05-01,1.0693062793277974,0.6593651562072589,2.3003763469898963,24.8600325210244
1992-06-01,0.686593955719994,0.6767789618425502,2.248559470447109,20.210341522946095
