Fecha,Real_CPI,SARIMA_rolling_forecast,TES_rolling_forecast,SARIMA_error,TES_error
2020-09-01,105.8,105.48455293571557,105.84060290421813,0.31544706428442737,-0.04060290421813306
2020-10-01,106.52,106.32332458942159,106.38645216875712,0.19667541057840765,0.13354783124287906
2020-11-01,106.38,106.73490997618289,106.4486937749862,-0.35490997618289555,-0.0686937749862011
2020-12-01,106.74,106.35404830457206,106.42772633602519,0.3859516954279343,0.31227366397480694
2021-01-01,107.49,107.03813998759138,106.8400828230295,0.4518600124086163,0.6499171769704901
2021-02-01,107.69,107.91027463641457,107.19056142026957,-0.22027463641457246,0.49943857973042327
2021-03-01,108.09,108.10234095545346,107.69579791037077,-0.012340955453453262,0.394202089629232
2021-04-01,108.5,108.2659678938109,107.99709217618006,0.23403210618910464,0.5029078238199389
2021-05-01,108.79,108.78902785518834,108.36839987010997,0.0009721448116692954,0.42160012989003803
2021-06-01,108.88,108.98412836394807,108.58288017182673,-0.10412836394807812,0.29711982817326543
2021-07-01,109.76,109.07295888280463,108.97971594760669,0.6870411171953776,0.7802840523933128
2021-08-01,110.15,110.25519833540248,109.48459486602694,-0.10519833540247703,0.6654051339730671
2021-09-01,111.45,110.60703262483064,110.18280574423551,0.8429673751693656,1.267194255764494
2021-10-01,112.94,112.36237913139502,111.28370053398267,0.5776208686049813,1.6562994660173302
2021-11-01,113.51,113.32062055400655,111.88600603249856,0.18937944599345258,1.6239939675014483
2021-12-01,114.39,113.9432538004571,112.65036556659068,0.4467461995429005,1.7396344334093214
2022-01-01,115.77,115.11023071472862,113.86167730592062,0.6597692852713806,1.9083226940793736
2022-02-01,116.1,116.42806079957248,114.89336518061714,-0.3280607995724836,1.206634819382856
2022-03-01,118.26,116.70197599955961,116.02145349411093,1.5580240004403976,2.238546505889076
2022-04-01,119.91,119.32782632564046,117.28694343908332,0.582173674359538,2.6230565609166803
2022-05-01,121.35,120.7573660698854,118.71454779942619,0.5926339301145873,2.635452200573809
2022-06-01,122.48,122.5888867064977,120.06368610789077,-0.10888670649769949,2.4163138921092298
2022-07-01,124.16,123.33079681531186,121.84219757795408,0.82920318468814,2.317802422045915
2022-08-01,125.67,125.41636596876752,123.51175675401889,0.25363403123247963,2.1582432459811116
