,Chile,Mexico,Colombia,Brazil
Chile,1.0,0.212894385874065,0.3436898152254164,0.3813332697903975
Mexico,0.212894385874065,1.0,0.5157178748431278,0.16944884231747548
Colombia,0.3436898152254164,0.5157178748431278,1.0,0.5476255440353419
Brazil,0.3813332697903975,0.16944884231747548,0.5476255440353419,1.0
